output(s),start time(s),theta,velX,velZ
0.99,0,0.6803122459030498,-0.42400329410981374,-0.9056606464808035
0.01,0.99,0.4726875376607249,-0.9853112320930998,0.1707681934997778
4.18,1,0.6151865623939595,-0.7493353606589265,-0.6621906955448381
2.35,5.18,0.19252113390962633,0.35335062466830564,0.9354909598956679
1.56,7.529999999999999,0.8478549075201611,0.576828253604573,-0.8168654514933891
2.69,9.09,0.35456819499848025,-0.6107610223588178,0.7918149869554199
0.24,11.78,0.17241336288285047,0.46841082896873226,0.8835107782618303
0.15,12.02,0.8643958136654321,0.6584595243356207,-0.7526161404140281
2.79,12.17,0.575447721467661,-0.8897258719597818,-0.45649520563244245
0.84,14.96,0.35057564748597625,-0.5907075346500679,0.8068857468735204
1.31,15.8,0.27889823381669865,-0.18057689623637024,0.9835608697714845
1.59,17.11,0.9110483453716941,0.8478390466054355,-0.530253666702255
1.11,18.7,0.04190148434213237,0.9655429127199975,0.2602438927163965
1.14,19.81,0.30769520941640227,-0.3546219342653694,0.935009777348819
0.05,20.95,0.6847329108909173,-0.3986874792929696,-0.9170868518602903
0.43,21,0.151515826600378,0.5800534543909136,0.8145784124620344
0.34,21.43,0.07112431934714414,0.9017966645920241,0.4321605902100517
0.08,21.77,0.045142010012972356,0.9600443665861854,0.2798478411318014
0.02,21.849999999999998,0.36633862408279605,-0.6675974513954543,0.7445224260492722
0.18,21.869999999999997,0.18190134237509548,0.4149396616001895,0.9098489309941075
1.62,22.049999999999997,0.7645094435722903,0.09103929337510112,-0.9958473010767074
0.01,23.669999999999998,0.28704884840039957,-0.2306880826714365,0.973027753208189
0.87,23.68,0.557015015107453,-0.9365168122252411,-0.3506226752785287
0.05,24.55,0.8196925681992557,0.4240306882456793,-0.9056478208585805
0.04,24.6,0.5216524206391991,-0.9907599844617435,-0.13562688962505084
0.03,24.64,0.6768549311988395,-0.44357533006782285,-0.8962370928248964
0.55,24.67,0.3153169745067841,-0.39897491067114405,0.916961842529422
0.95,25.220000000000002,0.5586087863276016,-0.9329587932157469,-0.35998318038683014
0.31,26.17,0.33620553495856975,-0.5155465266232516,0.8568615867727418
1.05,26.48,0.7206444479222675,-0.18340232580863583,-0.9830379376646575
0.78,27.53,0.5348212780667528,-0.9761611090026923,-0.21704720516660395
0.16,28.310000000000002,0.548009011039773,-0.9548477253062142,-0.2970956436529296
0.74,28.470000000000002,0.938516403833344,0.9263045895627522,-0.3767755397514298
0.7899999999999991,29.21,0.6452710309236896,-0.6115605809742672,-0.7911976085646473
1,30,0,0,0
