output(s),start time(s),theta,velX,velZ
0.02,0,0.4032452134380775,-0.8208330942330018,0.5711681288481316
0.07,0.02,0.07957538252945184,0.8775888545999023,0.47941401969699576
1.95,0.09000000000000001,0.9440464698535788,0.9388344460312781,-0.34436881819517734
1.67,2.04,0.2663981179465341,-0.10285021732138311,0.9946968547235606
0.21,3.71,0.7236753275193755,-0.16464964237856164,-0.9863521152532759
1.37,3.92,0.29434029050919064,-0.27500822942540976,0.9614418722670139
0.69,5.29,0.8249809837814794,0.45388403687917594,-0.8910607617139601
0.44,5.98,0.9256862778984521,0.8929558468195751,-0.4501442609105837
2.5,6.420000000000001,0.6375187071917512,-0.6493586651547705,-0.7604822969592485
0.37,8.920000000000002,0.40217163264103695,-0.8169616301407148,0.5766920277564325
2.59,9.290000000000001,0.5401793159303003,-0.9683023536966859,-0.2497810077356925
0.68,11.88,0.11676273696809725,0.7427407844741355,0.6695790670852442
1.55,12.56,0.6342786431016012,-0.6647048788018725,-0.7471060327001704
0.99,14.110000000000001,0.2984086219949813,-0.2994921646602741,0.9540987597241196
0.48,15.100000000000001,0.6487100743045692,-0.5943228303141695,-0.8042265684291677
0.06,15.580000000000002,0.36756505988044197,-0.6733148060984925,0.7393559169226614
1.39,15.640000000000002,0.3006312425223753,-0.31278664736242884,0.9498234116043738
1.17,17.03,0.10742563630122537,0.7807224610794067,0.6248779390937996
1.9,18.200000000000003,0.4045706531533878,-0.8255612535128884,0.5643125168718379
1.45,20.1,0.564013318506156,-0.9201990929612902,-0.3914506728991773
0.22,21.55,0.22569785349903737,0.15210221572649846,0.9883647686816288
2.61,21.77,0.05951123980422768,0.9309025995996381,0.3652675047942753
0.75,24.38,0.3951883768601835,-0.7908798996399815,0.6119713917704428
0.78,25.13,0.4588671054437462,-0.9667884168353433,0.2555780841015335
0.07,25.91,0.09462772989902513,0.8283930471936555,0.5601472657803571
1.23,25.98,0.43181889235566984,-0.9096338499403158,0.41541095200145955
0.87,27.21,0.01552292069451322,0.9952473885185038,0.09737882545552863
0.48,28.080000000000002,0.46202486050236324,-0.9716686629475909,0.23634722220843019
0.57,28.560000000000002,0.9772911361379654,0.9898378962920631,-0.1422003483262365
0.01,29.130000000000003,0.8868117856681231,0.7575905360526365,-0.6527300971178508
0.37,29.140000000000004,0.3640407604839404,-0.6567789022761609,0.7540832006648345
0.11,29.510000000000005,0.28811446515299133,-0.23719773894426915,0.971461390195064
0.17,29.620000000000005,0.43265683754722273,-0.9118083564934453,0.4106160262687298
0.20999999999999375,29.790000000000006,0.7367654236900688,-0.08305949479556361,-0.9965445902338268
1,30,0,0,0
