output(s),start time(s),theta,velX,velZ
0.3,0,0.988218706364743,0.997261470769012,-0.0739564663814271
0.47,0.3,0.25193077480934345,-0.012131118349783976,0.999926415276436
0.22,0.77,0.12675580271872056,0.6992630844265716,0.7148644198435374
1.01,0.99,0.43876582960462873,-0.9268939300157233,0.3753233838971499
1.63,2,0.053337378596885254,0.9443680110826635,0.3288906499792512
0.04,3.63,0.9290512318676649,0.9022727980335439,-0.4311656270259954
1.14,3.67,0.35123041059126425,-0.5940220527236225,0.8044487559055665
0.27,4.81,0.6812817913889413,-0.4184783265085137,-0.9082267834867203
0.38,5.08,0.5700500858720213,-0.9046930154247178,-0.42606401847812886
0.13,5.46,0.032034089432084634,0.9798122539835248,0.1999198512997766
3.04,5.59,0.7511328475229,0.007117830807401065,-0.9999746679214415
2.55,8.629999999999999,0.6377263998631756,-0.6483657047682664,-0.7613290437651444
1.45,11.18,0.45944911628164276,-0.9677165693137442,0.25204095198129495
0.05,12.629999999999999,0.16830850449948576,0.49103966062324506,0.8711372174893048
2.12,12.68,0.2127333564648356,0.23201940335251142,0.9727111577790936
0.85,14.8,0.8466102856612745,0.5704226378799284,-0.8213513342012078
7.95,15.65,0.6105861908610806,-0.7681602963725558,-0.6402575724478605
0.87,23.6,0.30130865744983415,-0.31682655761908335,0.9484834908353659
0.37,24.470000000000002,0.21730777168926785,0.20396985843796464,0.978977168706603
1.95,24.840000000000003,0.8669051663475567,0.6702434851679199,-0.7421412740105218
0.27,26.790000000000003,0.613680910505395,-0.7555662517006658,-0.6550722397499426
0.16,27.060000000000002,0.05013560279309426,0.950792883245049,0.3098271988876488
0.81,27.220000000000002,0.6494802266989511,-0.5904242266033033,-0.8070930755742433
1.9699999999999989,28.03,0.903780382015781,0.8227490391205236,-0.5684048017269516
1,30,0,0,0
