output(s),start time(s),theta,velX,velZ
0.64,0,0.9105595056461341,0.8462063914037445,-0.532855274110572
0.92,0.64,0.9666424542832931,0.9781159596240273,-0.20806049487773542
0.41,1.56,0.28501605117497464,-0.21824166393881755,0.9758947566829203
0.86,1.97,0.5176300139818196,-0.993870981644145,-0.11054624301939753
0.23,2.83,0.38409779392103427,-0.7463502404528125,0.6655533927312135
0.08,3.06,0.11962494558038905,0.7305797620371506,0.6828273656655396
1.59,3.14,0.621009289978568,-0.7246129049269399,-0.6891561056925649
0.19,4.73,0.5301281847819079,-0.982136013600227,-0.18817239645988143
3.09,4.920000000000001,0.07493579529583216,0.8911895960143074,0.45363102181823456
0.7,8.010000000000002,0.9950666004954835,0.9995196171012805,-0.030992499571825517
1.21,8.71,0.15197245205863108,0.5777139939675936,0.8162392671110666
0.51,9.920000000000002,0.6901562116635109,-0.3672117935434547,-0.9301373547399326
0.26,10.430000000000001,0.23809393161421022,0.07473827949266075,0.9972031836985263
0.64,10.690000000000001,0.035479702688551495,0.9752548330378381,0.22108371861432607
0.17,11.330000000000002,0.35224352204259746,-0.5991307556054529,0.8006511960196144
0.45,11.500000000000002,0.8718704336305925,0.6930666800010074,-0.7208734820149658
1.39,11.950000000000001,0.4582376677697698,-0.9657700796958788,0.25939960131853695
0.06,13.340000000000002,0.26719330366994,-0.10781871607489543,0.994170571111397
0.7,13.400000000000002,0.36913241302852484,-0.6805631938790221,0.7326893878972075
0.45,14.100000000000001,0.17873336062278689,0.4329668247459088,0.9014098560973501
1.18,14.55,0.5691278654811511,-0.9071466337773324,-0.42081466802673867
4.56,15.73,0.04129062842793396,0.9665346460119708,0.25653611453071146
0.8,20.29,0.727774178552319,-0.13919549544125848,-0.9902649211442677
3.39,21.09,0.12146154147014099,0.7226516899366371,0.6912123660870967
1.74,24.48,0.22135652236701242,0.17900229905536494,0.9838486555018987
1.7,26.22,0.0801960495745545,0.8757125835626999,0.4828327567491061
0.7,27.919999999999998,0.1812266036314385,0.4187932334374159,0.9080816194742817
1.3800000000000026,28.619999999999997,0.9698102633764404,0.9820631660546676,-0.1885522152579556
1,30,0,0,0
