output(s),start time(s),theta,velX,velZ
0.92,0,0.5249677748721389,-0.987719994644057,-0.15623447820613753
0.88,0.92,0.19743990664697775,0.32427461580806133,0.945962987406238
1.25,1.8,0.9444760276946436,0.9397604739277775,-0.341833660781145
0.65,3.05,0.2939583979974564,-0.27270045880845456,0.96209898646951
2.02,3.6999999999999997,0.9631502255657177,0.9733155409080902,-0.22947082129715685
0.53,5.72,0.895150713288155,0.7907350561781429,-0.612158534148589
2.93,6.25,0.116544895839924,0.7436565655401147,0.6685618240141155
0.3,9.18,0.9289846105621711,0.9020922356424176,-0.43154327522702174
0.8,9.48,0.6301160352919752,-0.6840154539797069,-0.7294675172459261
1.1,10.280000000000001,0.4806725914306438,-0.9926355008805259,0.12113943367734342
0.5,11.38,0.8697277525560871,0.6832991450292102,-0.7301385337060019
0.4,11.88,0.027502001279786414,0.9851071641695947,0.17194148743610227
2.3,12.280000000000001,0.7866378636072267,0.22817467296926816,-0.9736202127191934
2.04,14.580000000000002,0.10444910740198898,0.7922717668440408,0.6101683763206857
1.04,16.62,0.8656901360139913,0.6645583087615384,-0.7472364112220468
1.6,17.66,0.7955715088585308,0.28243761471527606,-0.9592856685023212
0.46,19.26,0.292426108280863,-0.2634252012957735,0.9646798242537683
0.19,19.720000000000002,0.21630541132822256,0.21013138622633964,0.9776731562861879
0.63,19.910000000000004,0.3806837090938229,-0.7319026180228962,0.6814092439431905
0.88,20.540000000000003,0.02086559740556837,0.9914183805827615,0.13072717637375406
0.8,21.42,0.6310218408100371,-0.6798527477941799,-0.7333486492226622
0.89,22.220000000000002,0.7880102523038635,0.23656158625579,-0.9716164963133059
1.98,23.110000000000003,0.7990010193925138,0.30304137348979765,-0.9529774005470523
2.22,25.090000000000003,0.711207836584859,-0.2413321594795874,-0.97044257367498
2.6899999999999977,27.310000000000002,0.4214549360140374,-0.8806740178126278,0.4737227821730377
1,30,0,0,0
