output(s),start time(s),theta,velX,velZ
2.1,0,0.263529500824929,-0.08490601341091902,0.9963889646552018
0.6,2.1,0.3156853787290361,-0.4010963791626379,0.9160358588082791
1.06,2.7,0.32904237189893415,-0.4764722876022143,0.8791894898980042
1.67,3.7600000000000002,0.9869775854514908,0.9966544273555673,-0.0817309759671707
0.02,5.43,0.13817096491916248,0.6462365694037366,0.7631371412565958
0.75,5.449999999999999,0.6756719859635555,-0.45022444552631613,-0.8929154207709268
1.6,6.199999999999999,0.35447054862190164,-0.6102751049685888,0.7921895582848704
0.8,7.799999999999999,0.9212769512907597,0.8801436978316612,-0.4747073531842637
1.43,8.6,0.05649895981564934,0.9376487710133051,0.3475842088145527
1.37,10.03,0.20456099029088437,0.2816388955834691,0.9595204700758206
0.06,11.399999999999999,0.24424785942799032,0.03613389741472194,0.9993469574965556
1.52,11.459999999999999,0.7899210159390295,0.2482091763503333,-0.9687064595508225
0.86,12.979999999999999,0.4613872661142914,-0.9707140321161246,0.2402379400778641
1.9,13.839999999999998,0.7978537196376345,0.29616383390896744,-0.9551371542790813
0.64,15.739999999999998,0.890026092197272,0.7706177330549558,-0.6372976616160151
1.55,16.38,0.7490547987407783,-0.005938839753416392,-0.9999823649356939
0.07,17.93,0.06236086918006145,0.9242137154653787,0.3818756448710498
6.01,18,0.33771404994607823,-0.5236448207759059,0.8519366770333164
0.33,24.009999999999998,0.040113376939579504,0.9684057565834888,0.249379811965525
0.51,24.339999999999996,0.43045762052519654,-0.9060475598792691,0.4231758727016727
0.26,24.849999999999998,0.5658443182985299,-0.9156348484931205,-0.4020109752543831
2.93,25.11,0.1442257920898018,0.616743489364149,0.7871641940071549
0.77,28.04,0.18486978266290455,0.39789864578889866,0.9174293802137364
0.89,28.81,0.838759611404366,0.5292302417402294,-0.8484782561902092
0.3000000000000007,29.7,0.6058871080170193,-0.7867264952469363,-0.617301726610636
1,30,0,0,0
