output(s),start time(s),theta,velX,velZ
0.89,0,0.8035600574054377,0.33021162334488685,-0.9439069253946252
1.51,0.89,0.28818254826963285,-0.23761328785343064,0.9713598331388233
1.3,2.4,0.13276672461263406,0.6717720359042849,0.7407579441200831
0.11,3.7,0.8745805928487758,0.705240951270963,-0.7089677007102844
0.67,3.81,0.056439652803744744,0.9377782286281392,0.3472347821158897
0.8,4.48,0.7895435420402397,0.24591096203709295,-0.9692924216922318
2.16,5.28,0.6266306251343869,-0.6998251189298372,-0.7143142186144968
1.65,7.44,0.5158977046135296,-0.9950153180377049,-0.09972219848321112
2.03,9.09,0.46854613259548583,-0.9805345774865221,0.196346485462123
0.3,11.12,0.718103377448604,-0.1990734837065509,-0.9799845652279109
0.98,11.42,0.9568721574324528,0.9635089761013103,-0.26767602240806854
0,12.4,0.22115093237166705,0.18027304573305789,0.983616606703103
1.09,12.4,0.15929741216236837,0.539548838688554,0.8419543043834581
1.01,13.49,0.8403066340566157,0.537452514267126,-0.8432940145097347
1.08,14.5,0.8389799915607837,0.5304046128154077,-0.8477446235182724
0.84,15.58,0.6539691743236504,-0.567428443109464,-0.8234227115827991
0.21,16.42,0.9936810536035807,0.9992119350118087,-0.039692681062849094
0.06,16.630000000000003,0.13558409557681572,0.6585545248002765,0.7525330144685228
1.41,16.69,0.21292631723019106,0.23083991008645907,0.9729917450375802
0.28,18.1,0.8699451931558507,0.684296036572988,-0.7292043159022716
1.19,18.380000000000003,0.8933044257943309,0.7835806244433972,-0.6212901133905928
1.15,19.570000000000004,0.846418645993752,0.5694332292610405,-0.8220375888080443
1.51,20.720000000000002,0.8522756643602256,0.599292439809517,-0.8005301815591692
0.41,22.230000000000004,0.04398797915129482,0.9620482846888218,0.27287927353922603
0.74,22.640000000000004,0.7814139943215751,0.19610082600564485,-0.9805837373931426
1.2,23.380000000000003,0.02512330176883737,0.9875668500617029,0.15719960769418634
2.09,24.580000000000002,0.32400943230686663,-0.4484361887537127,0.893814849180771
0.68,26.67,0.42441709581617815,-0.889337814052817,0.4572507545053996
0.53,27.35,0.8987509711798192,0.8043792606428924,-0.5941161545081852
1.17,27.880000000000003,0.32630082043974384,-0.4612577147804906,0.8872662061385408
0.9499999999999957,29.050000000000004,0.10605583319719891,0.7860716322264029,0.6181354131652051
1,30,0,0,0
