output(s),start time(s),theta,velX,velZ
0.07,0,0.4451476572522082,-0.9411946307587578,0.33786486504353425
0.01,0.07,0.7822333786181294,0.2011465866266517,-0.979561152092327
0.78,0.08,0.5804084171072013,-0.8750675388988718,-0.48400082888924
0.92,0.86,0.9167696783800402,0.8663488432053584,-0.49943936756801355
1.17,1.78,0.9212603414517747,0.8800941512993615,-0.4747992047683489
0.76,2.95,0.6963681607090525,-0.33063730959715804,-0.9437578977165453
0.56,3.71,0.03451298732368846,0.9765797082125666,0.21515592835768724
0.71,4.27,0.9575681796000104,0.9646703692221773,-0.2634598237772662
1.1,4.9799999999999995,0.8678960541512648,0.6748509861709533,-0.737954027337809
0.29,6.08,0.89746102077085,0.79953758335405,-0.6006160610609456
0.21,6.37,0.11097339383339111,0.7666003624219568,0.6421245084362724
1.79,6.58,0.15012008238916386,0.5871746818021295,0.8094602479742707
2.14,8.370000000000001,0.7081780010273664,-0.25976164757896547,-0.9656727636456676
0.59,10.510000000000002,0.761187849537164,0.07023745284627753,-0.9975303004007783
1.37,11.100000000000001,0.5173256792164579,-0.9940805500938491,-0.10864557020472754
1.11,12.470000000000002,0.43144495006145545,-0.9086553118033929,0.41754703247835323
0.36,13.580000000000002,0.643943917796602,-0.6181366430144652,-0.786070665120387
1.86,13.940000000000001,0.0939057005620969,0.830925702655209,0.5563833899991508
1.41,15.8,0.5801656022525962,-0.8758049364209496,-0.482665218697905
2.31,17.21,0.07419992711310874,0.8932774694402342,0.4495056869389434
1.32,19.52,0.6766329568755718,-0.44482488531771736,-0.8956175642550115
0.04,20.84,0.8042715082594817,0.3344277416230797,-0.9424213949358783
0.76,20.88,0.07707622046162432,0.8850084455863801,0.46557496844308466
0.44,21.64,0.7757811845227086,0.16128045865781301,-0.9869086146422704
0.78,22.080000000000002,0.5741478763737304,-0.8934244300020603,-0.4492135214744694
0.72,22.860000000000003,0.5712780848928234,-0.9013787172622986,-0.43303164788104476
1.98,23.580000000000002,0.026611369787443717,0.9860539197803778,0.1664261616626188
0.78,25.560000000000002,0.3848458309782521,-0.7494701231669278,0.662038166936129
0.96,26.340000000000003,0.3670627661160609,-0.6709780459209279,0.74147721603036
0.14,27.300000000000004,0.5842454130707277,-0.8631458156406843,-0.504954751380733
0.44,27.440000000000005,0.005562057132868503,0.9993894005193129,0.034940322403325216
1.65,27.880000000000006,0.8384146747524938,0.5273900925412098,-0.8496232637406853
0.4699999999999953,29.530000000000005,0.7707257938368661,0.1298562525171264,-0.99153283036025
1,30,0,0,0
